Unnamed: 0,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,sst
13165,Arlene,2011,6,28,6,19.9,-92.8,other low,,25,1007,0.0,0.0,
13166,Arlene,2011,6,28,12,20.3,-93.1,other low,,30,1006,0.0,0.0,
13167,Arlene,2011,6,28,18,20.7,-93.5,tropical storm,,35,1006,100.0,0.0,
13168,Arlene,2011,6,29,0,21.0,-93.9,tropical storm,,35,1005,100.0,0.0,
13169,Arlene,2011,6,29,6,21.2,-94.5,tropical storm,,35,1003,100.0,0.0,
13170,Arlene,2011,6,29,12,21.3,-95.3,tropical storm,,45,1000,160.0,0.0,
13171,Arlene,2011,6,29,18,21.4,-95.6,tropical storm,,50,998,190.0,0.0,
13172,Arlene,2011,6,30,0,21.6,-96.1,tropical storm,,50,996,200.0,0.0,
13173,Arlene,2011,6,30,6,21.6,-97.0,tropical storm,,55,994,200.0,0.0,
13174,Arlene,2011,6,30,12,21.6,-97.3,tropical storm,,55,993,200.0,0.0,
13175,Arlene,2011,6,30,13,21.6,-97.4,tropical storm,,55,993,200.0,0.0,
13176,Arlene,2011,6,30,18,21.5,-98.1,tropical storm,,45,998,130.0,0.0,
13177,Arlene,2011,7,1,0,21.1,-98.7,tropical depression,,30,1002,0.0,0.0,
13178,Bret,2011,7,16,6,30.7,-79.7,other low,,20,1014,0.0,0.0,
13179,Bret,2011,7,16,12,30.3,-79.4,other low,,20,1014,0.0,0.0,
13180,Bret,2011,7,16,18,29.8,-79.1,other low,,20,1014,0.0,0.0,
13181,Bret,2011,7,17,0,29.3,-78.8,other low,,20,1014,0.0,0.0,
13182,Bret,2011,7,17,6,28.8,-78.5,other low,,20,1014,0.0,0.0,
13183,Bret,2011,7,17,12,28.3,-78.3,other low,,25,1013,0.0,0.0,
13184,Bret,2011,7,17,18,27.8,-78.2,tropical depression,,30,1011,0.0,0.0,
13185,Bret,2011,7,18,0,27.5,-78.1,tropical storm,,35,1008,60.0,0.0,
13186,Bret,2011,7,18,6,27.1,-78.0,tropical storm,,40,1001,70.0,0.0,
13187,Bret,2011,7,18,12,27.4,-77.5,tropical storm,,45,999,80.0,0.0,
13188,Bret,2011,7,18,18,27.8,-77.1,tropical storm,,60,995,90.0,0.0,
13189,Bret,2011,7,19,0,28.4,-76.8,tropical storm,,60,996,90.0,0.0,
13190,Bret,2011,7,19,6,29.0,-76.6,tropical storm,,50,999,80.0,0.0,
13191,Bret,2011,7,19,12,29.5,-76.2,tropical storm,,45,999,80.0,0.0,
13192,Bret,2011,7,19,18,30.0,-75.8,tropical storm,,45,999,85.0,0.0,
13193,Bret,2011,7,20,0,30.5,-75.3,tropical storm,,45,1000,100.0,0.0,
13194,Bret,2011,7,20,6,30.9,-74.7,tropical storm,,45,1001,105.0,0.0,
